campaign,repetitions,shots,moneyness,theory_price,mean_prediction,std_dev,bias,sem
ibm_fez_A,20,2000,0.8,0.018594,0.002900,0.010945,-0.015694,0.002447
ibm_fez_A,20,2000,0.9,0.050912,0.044100,0.016958,-0.006812,0.003792
ibm_fez_A,20,2000,1.0,0.104506,0.087900,0.021679,-0.016606,0.004848
ibm_fez_A,20,2000,1.1,0.176630,0.139800,0.024167,-0.036830,0.005404
ibm_fez_A,20,2000,1.2,0.261690,0.229650,0.027490,-0.032040,0.006147
ibm_fez_B,50,5000,0.8,0.018594,0.000064,0.000324,-0.018530,0.000046
ibm_fez_B,50,5000,0.9,0.050912,0.025112,0.014129,-0.025800,0.001998
ibm_fez_B,50,5000,1.0,0.104506,0.074600,0.015415,-0.029906,0.002180
ibm_fez_B,50,5000,1.1,0.176630,0.139272,0.017584,-0.037358,0.002487
ibm_fez_B,50,5000,1.2,0.261690,0.217592,0.012653,-0.044098,0.001789
ibm_fez_U4,40,4000,0.8,0.018594,0.001900,0.004500,-0.016694,0.000712
ibm_fez_U4,40,4000,0.9,0.050912,0.027200,0.016900,-0.023712,0.002672
ibm_fez_U4,40,4000,1.0,0.104506,0.093000,0.016500,-0.011506,0.002609
ibm_fez_U4,40,4000,1.1,0.176630,0.159000,0.025400,-0.017630,0.004016
ibm_fez_U4,40,4000,1.2,0.261690,0.224200,0.019900,-0.037490,0.003146
