Moneyness,TheoryPrice,ExpVal,Label,ExpVal_Mitigated
1.1,0.17662953740590448,0.158,m1.1_rep9,0.17489484170909886
0.8,0.01859419572812185,0.0,m0.8_rep1,0.0
0.8,0.01859419572812185,0.0,m0.8_rep20,0.0
1.2,0.26169043946847315,0.1444,m1.2_rep4,0.1598406021695815
1.1,0.17662953740590448,0.1536,m1.1_rep7,0.17002435244631386
0.8,0.01859419572812185,0.0,m0.8_rep4,0.0
1.0,0.10450583572185568,0.0872,m1.0_rep6,0.09652424175337604
1.1,0.17662953740590448,0.138,m1.1_rep11,0.1527562541509851
1.2,0.26169043946847315,0.1216,m1.2_rep18,0.13460261235333176
1.0,0.10450583572185568,0.0912,m1.0_rep19,0.10095195926499884
1.2,0.26169043946847315,0.138,m1.2_rep17,0.1527562541509851
1.0,0.10450583572185568,0.084,m1.0_rep17,0.09298206774407791
1.0,0.10450583572185568,0.0804,m1.0_rep12,0.08899712198361742
1.0,0.10450583572185568,0.0764,m1.0_rep4,0.08456940447199462
1.2,0.26169043946847315,0.1452,m1.2_rep6,0.16072614567190613
0.8,0.01859419572812185,0.0,m0.8_rep13,0.0
0.9,0.05091222078817559,0.0036,m0.9_rep3,0.00398494576046049
0.8,0.01859419572812185,0.0,m0.8_rep5,0.0
0.9,0.05091222078817559,0.0172,m0.9_rep18,0.019039185299977945
0.8,0.01859419572812185,0.0,m0.8_rep11,0.0
1.2,0.26169043946847315,0.1404,m1.2_rep14,0.15541288465795883
0.8,0.01859419572812185,0.0,m0.8_rep12,0.0
1.2,0.26169043946847315,0.1676,m1.2_rep20,0.18552136373699346
0.9,0.05091222078817559,0.0292,m0.9_rep2,0.03232233783484606
1.0,0.10450583572185568,0.074,m1.0_rep10,0.08191277396502106
1.1,0.17662953740590448,0.1336,m1.1_rep12,0.14788576488820004
1.0,0.10450583572185568,0.0972,m1.0_rep18,0.10759353553243295
0.8,0.01859419572812185,0.0,m0.8_rep18,0.0
0.9,0.05091222078817559,0.0252,m0.9_rep6,0.027894620323223263
0.8,0.01859419572812185,0.0,m0.8_rep10,0.0
1.0,0.10450583572185568,0.0932,m1.0_rep20,0.10316581802081015
1.2,0.26169043946847315,0.1424,m1.2_rep2,0.1576267434137702
1.2,0.26169043946847315,0.1292,m1.2_rep10,0.14301527562541505
1.2,0.26169043946847315,0.158,m1.2_rep11,0.17489484170909886
1.2,0.26169043946847315,0.118,m1.2_rep19,0.13061766659287127
0.9,0.05091222078817559,0.0312,m0.9_rep9,0.034536196590657375
0.8,0.01859419572812185,0.0,m0.8_rep9,0.0
0.9,0.05091222078817559,0.0044,m0.9_rep8,0.004870489262784994
0.8,0.01859419572812185,0.0,m0.8_rep8,0.0
0.9,0.05091222078817559,0.0168,m0.9_rep19,0.018596413548815638
0.9,0.05091222078817559,0.0184,m0.9_rep4,0.0203675005534647
1.0,0.10450583572185568,0.082,m1.0_rep1,0.09076820898826649
1.1,0.17662953740590448,0.1476,m1.1_rep18,0.16338277617887975
0.9,0.05091222078817559,0.0132,m0.9_rep16,0.014611467788355148
1.2,0.26169043946847315,0.1396,m1.2_rep7,0.1545273411556342
1.2,0.26169043946847315,0.1352,m1.2_rep3,0.14965685189284916
0.8,0.01859419572812185,0.0,m0.8_rep2,0.0
1.1,0.17662953740590448,0.1508,m1.1_rep2,0.16692495018817805
1.0,0.10450583572185568,0.0872,m1.0_rep8,0.09652424175337604
0.8,0.01859419572812185,0.0,m0.8_rep19,0.0
1.1,0.17662953740590448,0.1296,m1.1_rep4,0.14345804737657725
1.1,0.17662953740590448,0.1456,m1.1_rep17,0.16116891742306833
1.0,0.10450583572185568,0.0936,m1.0_rep14,0.1036085897719724
1.0,0.10450583572185568,0.0824,m1.0_rep16,0.09121098073942885
1.1,0.17662953740590448,0.1508,m1.1_rep13,0.16692495018817805
1.2,0.26169043946847315,0.1248,m1.2_rep8,0.1381447863626301
1.0,0.10450583572185568,0.0944,m1.0_rep15,0.10449413327429713
0.9,0.05091222078817559,0.018,m0.9_rep11,0.019924728802302394
1.1,0.17662953740590448,0.1588,m1.1_rep5,0.17578038521142358
1.2,0.26169043946847315,0.1416,m1.2_rep5,0.15674119991144564
1.2,0.26169043946847315,0.116,m1.2_rep12,0.12840380783705996
1.2,0.26169043946847315,0.1452,m1.2_rep9,0.16072614567190613
1.1,0.17662953740590448,0.1444,m1.1_rep14,0.1598406021695815
1.0,0.10450583572185568,0.0712,m1.0_rep9,0.07881337170688513
0.8,0.01859419572812185,0.0,m0.8_rep7,0.0
0.9,0.05091222078817559,0.01,m0.9_rep1,0.011069293779056799
1.1,0.17662953740590448,0.1392,m1.1_rep8,0.1540845694044719
0.9,0.05091222078817559,0.03,m0.9_rep20,0.03320788133717062
1.1,0.17662953740590448,0.15,m1.1_rep1,0.16603940668585332
1.1,0.17662953740590448,0.1544,m1.1_rep10,0.17090989594863848
1.1,0.17662953740590448,0.1912,m1.1_rep20,0.21164489705556788
1.2,0.26169043946847315,0.1472,m1.2_rep1,0.1629400044277175
1.2,0.26169043946847315,0.1452,m1.2_rep16,0.16072614567190613
0.8,0.01859419572812185,0.0,m0.8_rep14,0.0
